id,param,val1
215,RegionBorn,Западнее Урала
215,RegionLife,Западнее Урала
215,education,студент
216,age,22
216,gender,ж
216,RegionBorn,Западнее Урала
216,RegionLife,Западнее Урала
216,education,высшее
217,age,22
217,gender,ж
217,RegionBorn,Западнее Урала
217,RegionLife,Западнее Урала
217,education,высшее
218,age,20
218,gender,м
218,RegionBorn,Москва и Московская область
218,RegionLife,Москва и Московская область
218,education,среднее
219,age,20
219,gender,м
219,RegionBorn,Москва и Московская область
219,RegionLife,Москва и Московская область
219,education,среднее
220,age,20
220,gender,м
220,RegionBorn,Москва и Московская область
220,RegionLife,Москва и Московская область
220,education,среднее
221,age,20
221,gender,ж
221,RegionBorn,Санкт-Петербург и Ленинградская область
221,RegionLife,Санкт-Петербург и Ленинградская область
221,education,студент
222,age,20
222,gender,ж
222,RegionBorn,Санкт-Петербург и Ленинградская область
222,RegionLife,Санкт-Петербург и Ленинградская область
222,education,студент
223,age,18
223,gender,ж
223,RegionBorn,Западнее Урала
223,RegionLife,Западнее Урала
223,education,студент
224,age,18
224,gender,ж
224,RegionBorn,Западнее Урала
224,RegionLife,Западнее Урала
224,education,студент
225,age,19
225,gender,ж
225,RegionBorn,Москва и Московская область
225,RegionLife,Москва и Московская область
225,education,студент
226,age,18
226,gender,ж
226,RegionBorn,Санкт-Петербург и Ленинградская область
226,RegionLife,Санкт-Петербург и Ленинградская область
226,education,студент
227,age,19
227,gender,ж
227,RegionBorn,Санкт-Петербург и Ленинградская область
227,RegionLife,Санкт-Петербург и Ленинградская область
227,education,студент
228,age,32
228,gender,ж
228,RegionBorn,Санкт-Петербург и Ленинградская область
228,RegionLife,Санкт-Петербург и Ленинградская область
228,education,высшее
229,age,25
229,gender,ж
229,RegionBorn,Санкт-Петербург и Ленинградская область
229,RegionLife,Санкт-Петербург и Ленинградская область
229,education,высшее
230,age,33
230,gender,м
230,RegionBorn,Санкт-Петербург и Ленинградская область
230,RegionLife,Санкт-Петербург и Ленинградская область
230,education,среднее специальное
231,age,20
231,gender,ж
231,RegionBorn,Санкт-Петербург и Ленинградская область
231,RegionLife,Западнее Урала
231,education,студент
232,age,18
232,gender,м
232,RegionBorn,Санкт-Петербург и Ленинградская область
232,RegionLife,Санкт-Петербург и Ленинградская область
232,education,студент
233,age,18
233,gender,ж
233,RegionBorn,Санкт-Петербург и Ленинградская область
233,RegionLife,Санкт-Петербург и Ленинградская область
233,education,студент
234,age,22
234,gender,ж
234,RegionBorn,Санкт-Петербург и Ленинградская область
234,RegionLife,Санкт-Петербург и Ленинградская область
234,education,высшее
235,age,22
235,gender,ж
